File Name,Total Distance
path63_visual.txt,1.5260312618373224
path100_visual.txt,1.3794317543402743
path78_visual.txt,1.5412832219060486
path43_visual.txt,1.532928164123721
path79_visual.txt,1.4551073740554559
path3_visual.txt,1.4562155579616431
path65_visual.txt,1.3922528178138742
path75_visual.txt,1.5567052241609753
path77_visual.txt,1.3734089299650225
path17_visual.txt,1.510131762215084
path98_visual.txt,1.549003603073745
path84_visual.txt,1.8922979705761576
path30_visual.txt,1.5699834291074601
path56_visual.txt,1.543364438588724
path73_visual.txt,1.9611000568267367
path49_visual.txt,1.6248905981300859
path24_visual.txt,1.616879703487056
path86_visual.txt,2.100017628152044
path34_visual.txt,1.5632903508650169
path45_visual.txt,1.4991987386813808
path89_visual.txt,1.4795110997138037
path37_visual.txt,1.4436743068877205
path28_visual.txt,1.6334159640483545
path8_visual.txt,1.5928608862713465
path39_visual.txt,1.5779409121767485
path25_visual.txt,1.5846810942882639
path52_visual.txt,1.5462022977942662
path99_visual.txt,1.6169400065486044
path11_visual.txt,1.7110048159949613
path38_visual.txt,1.669098559751602
path47_visual.txt,1.5648975290682658
path13_visual.txt,1.7375414961876647
path88_visual.txt,1.7031431608513088
path4_visual.txt,1.6445423824188516
path69_visual.txt,1.7624807623889986
path35_visual.txt,1.5046055410148034
path94_visual.txt,1.5267664509447807
path57_visual.txt,1.553712004352015
path6_visual.txt,1.6274931930484098
path96_visual.txt,1.6317997803684459
path46_visual.txt,1.6185595359860112
path83_visual.txt,1.5510669763887674
path95_visual.txt,1.9779406421988202
path29_visual.txt,1.5222763517231994
path23_visual.txt,1.6588011444524637
path93_visual.txt,1.5071257422915239
path21_visual.txt,1.8540730871541382
path27_visual.txt,1.5595331901476666
path64_visual.txt,1.5148328864521472
path66_visual.txt,1.529037020167765
path36_visual.txt,1.7075176260493634
path72_visual.txt,1.4975177424148887
path59_visual.txt,1.5755951817002625
path22_visual.txt,1.5623970386744763
path91_visual.txt,1.5070982557021877
path53_visual.txt,1.6028679816016649
path67_visual.txt,1.622297779494215
path32_visual.txt,1.5944712768338747
path42_visual.txt,2.1077784360196166
path5_visual.txt,1.7640509401235072
path20_visual.txt,1.44142030245572
path76_visual.txt,1.6011155213824237
path16_visual.txt,1.5521477788812412
path48_visual.txt,1.5833843516413573
path15_visual.txt,1.5738192983132868
path60_visual.txt,1.852337530841547
path9_visual.txt,1.5399406676305891
path14_visual.txt,1.7482259867720202
path71_visual.txt,1.6530027280459532
path19_visual.txt,1.394830634353351
path92_visual.txt,1.4923811464469772
path7_visual.txt,1.7737158483034154
path10_visual.txt,1.6495397793149664
path87_visual.txt,1.4479583791849255
path80_visual.txt,1.4317874714944292
path68_visual.txt,1.5391425323241703
path85_visual.txt,1.606156586029482
path54_visual.txt,1.570129462288466
path70_visual.txt,1.501802403988308
path62_visual.txt,1.6619023381953693
path58_visual.txt,1.5384590831978366
path2_visual.txt,1.513827097753475
path90_visual.txt,1.4703612459971507
path33_visual.txt,1.5891505895803255
path82_visual.txt,1.5470959016911545
path55_visual.txt,1.6050063193635402
path31_visual.txt,1.6108686919959831
path74_visual.txt,1.581721357675693
path61_visual.txt,1.4795842649566358
path12_visual.txt,1.6103127536633899
path51_visual.txt,1.7320133547248469
path26_visual.txt,1.6633884882600591
path50_visual.txt,1.73071478255742
path81_visual.txt,1.5608198467769419
path18_visual.txt,1.740810935539482
path44_visual.txt,1.871347182091328
path41_visual.txt,1.539183638409143
path97_visual.txt,1.537159169647397
path40_visual.txt,1.8514090782359471
path1_visual.txt,1.687622408727539
Average,1.606662706042969
Variance,0.01921926206771062
