count,planning_time
0,0.181642
1,0.492626
2,0.049932
3,0.404541
4,0.220062
5,0.365115
6,0.193244
7,0.119968
8,0.634133
9,0.172794
10,0.154881
11,0.155151
12,0.205153
13,0.133171
14,0.267989
15,0.178879
16,0.126569
17,0.131285
18,0.254414
19,0.169316
20,0.172678
21,0.218539
22,0.121931
23,0.500528
24,0.187664
25,0.111546
26,0.09399
27,0.152647
28,0.179035
29,0.107906
30,0.19465
31,0.435106
32,0.174699
33,0.183356
34,0.150433
35,0.245889
36,0.161291
37,0.12862
38,0.183215
39,0.223206
40,0.148284
41,0.191038
42,0.071375
43,0.259288
44,0.141342
45,0.289803
46,0.218467
47,0.04437
48,0.150623
49,0.22592
50,0.140815
51,0.149628
52,0.081607
53,0.203823
54,0.228095
55,0.234718
56,0.119577
57,0.150152
58,0.151523
59,0.766259
60,0.04661
61,0.225452
62,0.168355
63,0.076775
64,0.242058
65,0.149922
66,0.150497
67,0.209752
68,0.291659
69,0.200643
70,0.3093
71,0.050278
72,0.124496
73,0.065666
74,0.270612
75,0.145085
76,0.180001
77,0.26103
78,0.189887
79,0.175129
80,0.282512
81,0.164544
82,0.119704
83,0.230598
84,0.372912
85,0.164485
86,0.144393
87,0.221672
88,0.212807
89,0.139238
90,0.235487
91,0.242262
92,0.202313
93,0.208691
94,0.215215
95,0.242879
96,0.388565
97,0.200279
98,0.199731
99,0.144895
100,0.258407
101,0.443249
102,0.390253
103,0.348662
104,0.18524
105,0.070356
106,0.581142
107,0.333659
108,0.107168
109,0.358721
110,0.222105
111,0.497521
112,0.119
113,0.147292
114,0.598217
115,0.136143
116,0.060791
117,0.12885
118,0.193648
119,0.154805
120,0.129759
121,0.075263
122,0.195228
123,0.176956
124,0.14257
125,0.207859
126,0.084673
127,0.932526
128,0.16315
129,0.236124
130,0.210128
131,0.400294
132,0.056186
133,0.519353
134,0.286567
135,0.287468
136,0.118152
137,0.157246
138,0.206026
139,0.134353
140,0.129202
141,0.514313
142,0.084247
143,0.400946
144,0.215579
145,0.252087
146,0.156956
147,0.141962
