s1,s2,s3,s4,s5,s6,ma1,ma2,ma3,ma4,ma5,ma6
-0.07252796448464771,-0.68010819270485,-0.07672630481358755,7.178096525350952e-05,0.7581216289984427,-0.10351004717890255,-0.9971344225966324,-0.7856898339154668,-0.5028815470765757,0.256037752828927,0.5650329838321958,-0.22324683803427708
0.08797334173985671,-0.18702740225755488,-0.5387821869792502,0.0010776948526416419,0.7275325219039948,0.05565158613414578,-1.2847276106113186,-0.4172892728218169,-0.8262645536807727,0.7086938693344635,1.1409610946993776,-0.16476769426309565
-0.11389511024380106,-0.24121335107180197,-0.7332214403313984,-7.409974246819218e-05,0.9755473886444177,-0.14494131361014873,-0.9865065588927858,-0.7149068064919063,-0.5204903575317221,-0.5455786191474294,0.5523409492676248,-0.6946327152383327
-0.08369297809494469,-0.4089043171283411,-0.3970625312135132,0.00012451950031255876,0.8067247757519782,-0.11471571013279647,-1.0517301889523956,-0.7622307955422327,-0.5716955736998433,0.35903683912345097,0.8194573564704102,-1.0152831260925077
0.04230150884581274,-0.4468630786843937,-0.3123970135752323,0.0002696813374605256,0.7604364071584424,0.011227395377285454,-1.0043877086841184,-0.6014868575187386,-0.7817539856260142,0.4649048505683126,0.8527163659462504,-0.8221402733105707
0.03304237307884872,-0.2570269589205383,-0.19055965388566243,0.0002575184247914919,0.44881872971341785,0.0016097491206998882,-0.6916587482507546,-0.9362144523936655,-0.5248759895465247,-0.19248072200021926,0.8233495114202938,-0.13553258575610977
-0.242377074320566,-0.6663649788759356,-0.3279349828562683,-0.00019302925946362848,0.995303682876024,-0.27325569703933716,-1.1728008807364263,-0.8436745468521767,-0.4965498532333859,-0.06600514138070329,0.6297313381119987,-1.3346888444818648
-0.04176768687065824,-0.4472601455085403,-0.2098881405533657,9.375074006268136e-05,0.658270994743952,-0.07287298896262762,-0.7679867306470014,-0.9659759470036942,-0.34642111561111033,0.8696993636013701,0.16478532189326903,-1.3363621244799446
-0.07188825534030663,-0.10658043806941819,-0.40208424439480606,0.00016303092264369212,0.5097857048752426,-0.10310818554607071,-0.5267072482538866,-0.35263747875226076,-1.0677029763112313,-0.5511957973426651,1.5653534427000328,-0.6017423542086513
0.09981909940790423,-0.4383818909316535,-0.28868433814793626,0.0002889960482539422,0.7281762444901094,0.06872935525613144,-0.9588586884451277,-0.8120328833195811,-0.3973478339665653,0.37498044508971684,0.3685878074609923,-0.7711181918696846
0.33256513145937117,-0.524728515347042,-0.11267960146616307,0.0007962574948239265,0.6385474151054291,0.30082217750937623,-0.7375257145879399,-0.5444108141982456,-0.7597947466013472,-0.3693430145441729,0.9241559381374274,-0.8142846449812113
0.054472519611007186,-0.3690541562354692,-0.6369789446681215,0.00023946799540475183,1.0069999695828882,0.023284761171486146,-0.9444653474413363,-0.6657418202680991,-0.890308567442549,0.5833281272208736,0.6647315688130083,-0.5863154935131855
-0.1966771779990122,-0.3670226591002903,-0.5931531622746569,-0.00012278257185993624,0.9614675585617372,-0.22793434427205916,-0.7310922587915347,-0.7558480171149116,-0.7530730591124328,-0.08917599033559699,1.322235396420916,-0.8576109188062293
0.10350435992745055,-0.607143608605762,-0.046494692021446404,0.0004997414069300987,0.6548633791712746,0.07227606784197338,-0.8195670395592878,-0.8060225064899948,-0.4786334951283872,-0.7161704156253585,0.2536814251671043,-0.5152947835932853
0.22701163687982362,-0.5757340633853616,-0.3744427217258117,0.000558912192263783,0.9512416096620466,0.19553826274578334,-1.0494356353862901,-0.746016805719656,-0.9375792159274676,-0.49073242385403987,1.0940780123227332,-0.671708289444705
0.05194498883320087,-0.281280269799872,-0.37258959686888726,0.0003515908061562101,0.6550000332809756,0.020492216699471655,-0.8354544153151675,-0.9250551410871846,-0.4216702290552358,-0.7416239948647065,0.40160891139752486,-0.5665474497278702
-0.09111860228701119,-0.440782507560181,-0.45365172609912907,-5.6449642428901825e-05,0.8957208144833446,-0.12195603150738865,-0.6337460948790095,-0.4497967441219514,-0.8058439620519244,-0.6152100941602963,0.9224843768567724,-1.519016276151844
-0.19018940273109042,0.027272887517334254,-0.48999389615457734,-0.00021359298762568812,0.4637885163257103,-0.2209194841775446,-0.8328857233114167,-0.5700941738426353,-0.6580292417214212,-0.24732221985909775,0.6397696154863868,-0.829744398653981
-0.12135734997891667,-0.4776330351217677,-0.5032861783652383,-6.236739120080159e-05,0.9817922607777758,-0.1523432525485644,-1.2029800356244515,-0.9493432775784704,-0.22739788781103093,-0.22578940454050836,-0.08178879729084935,0.7148321559816033
-0.17000624882181015,-0.41919598205458186,-0.4559137712430408,-0.0004662281455178885,0.8760383199870798,-0.20063477541942287,-0.8218296641918795,-0.541112672029353,-0.610969674015513,-0.11095545712607426,0.31957875986709794,-0.5564128353626991
0.028313164272010027,-0.5215526546754123,-0.08876402760211732,0.0005722740449334296,0.6118490088359412,-0.003285617404993779,-0.32073134376520734,-0.3858607354935242,-1.073487828456944,-1.1145259668977126,1.7391626056347713,-0.7500601288734607
-0.19031072514130987,-0.27718731524815166,-0.6586040245229405,-0.00014457816650548239,0.9366971071679471,-0.22118606501840699,-1.07994039312168,-0.7642462072356895,-0.7139589948819075,0.16078669932201672,1.2158168205589404,-0.9141215474395605
0.03719960425429214,-0.18135138008450458,-0.3660387218002876,0.0001731835376590496,0.5484485268899162,0.005893439425689984,-0.9661641897629247,-0.4216171765942322,-0.8238966180006001,0.03828101536755017,0.767963169420139,-0.8956236119560765
-0.0850213246418905,-0.09928398709910713,-0.4784027494760039,4.830191001747863e-05,0.5788065380379779,-0.1160793415498711,-0.9547387693279901,-0.7662061200484485,-0.9973262017372547,0.13499161512874308,0.9786995215400182,-0.1781008728763598
0.006292523928238758,-0.5297810643065812,-0.26814775191689577,9.539719614259923e-05,0.7992354539625062,-0.024716149333961823,-1.0304079790909926,-0.9871175762888907,-0.2953066479835358,-0.7167501077858079,-0.2832150576858582,-0.5482817469272837
