mc1,mc2,mc3,mc4,mc5,mc6
-1.347431300709639,-0.5815793174067585,-0.5495875707401007,0.1561697159310831,0.6874024013913183,-0.8689594766908895
-1.5294746359952003,-0.30874947742625647,-0.6716818178157351,0.40342543962658595,0.9234385467314883,-0.8868643059662278
-1.3057874317445628,-0.5380290993872683,-0.539406005461967,-0.34838713660143983,0.6441728896872185,-1.118077472796871
-1.422725367530178,-0.7981086614001706,-0.5723235112810313,0.4014671035089706,0.794957484336719,-1.3723584387466006
-1.490857009373878,-0.5755339403368503,-0.8737781365272632,0.51801102505921,0.8580218716602204,-1.276224584730943
-1.0128973047760068,-0.7563283411396857,-0.47675168856686523,-0.12311110553726055,0.8287912839337118,-0.6574100785112449
-1.6160944711778482,-0.8856875690711693,-0.5586225446112416,-0.08498878306869484,0.5319954455176833,-1.8112595796962767
-1.321379635921014,-0.5261139765230378,-0.37441071003464255,0.46524596719521727,0.28424235542302,-1.6231254455733093
-1.082284122487396,-0.3589105588727154,-0.701673112581237,-0.3117370230909423,1.1437163379494244,-1.1217324198266498
-1.3599715464576383,-0.5048730222562907,-0.41928748228206636,0.20278141390248836,0.46717332974618614,-1.2546764764966054
-1.1617683714288602,-0.4796051246424924,-0.8278565420761242,-0.3702188529328663,0.9279474260032675,-1.2309615404117373
-1.2606685553409913,-0.4204810509297598,-0.6896598439553391,0.3387252808271641,0.5919207032647318,-1.0490604229534362
-1.1818127945043333,-0.6511621869496402,-0.6744579863481948,-0.05456812940310045,1.2151347016415217,-1.2559244724633425
-1.1861887682967127,-0.6200573214830246,-0.46477384948778255,-0.4418808710201987,0.45193348611741047,-0.996904901445352
-1.4045294548433214,-0.6591177309017379,-0.812752475440579,-0.33935092789103893,1.0667533353013583,-1.1407035098788227
-1.4212686964953631,-0.70993783368078,-0.4211752968377963,-0.397535099619859,0.6285110109307409,-1.27500371751492
-0.9846337412191764,-0.3947276127652984,-0.6420774421359912,-0.47081085557135494,0.7836972686943777,-1.656184653454444
-1.2540697000335121,-0.4716213459104791,-0.6027273493661416,-0.14975955144641245,0.7227573106895927,-1.2500457482127487
-1.3547801215442237,-0.8459138798894871,-0.3089433417101998,-0.12092087888649244,0.4856371050369688,-0.3301648141432124
-1.3975135852355014,-0.4312428707610655,-0.556513618617271,-0.10110510987091141,0.24112201774653896,-1.1478982234973754
-0.8164005726771371,-0.3373982142820386,-0.7503993487462413,-0.6566417817704532,1.2541601105305014,-1.066679629847336
-1.4397212586148478,-0.6981463668051103,-0.5543865412923268,0.08795608481627318,1.108381952777082,-1.3453313230962292
-1.3360126062885367,-0.41589424832079486,-0.7271310319268687,0.031292754810708076,0.7399524827362817,-1.2701410905418127
-1.3296488386363499,-0.5346339825633684,-0.7523799037387815,0.07529595948032448,0.8402613258783267,-0.8827900263773579
