filename,positions,result
path_1004.txt,14,fail
path_1005.txt,0,fail
path_1006.txt,13,fail
path_1020.txt,0,fail
path_1027.txt,0,fail
path_1036.txt,0,fail
path_1047.txt,0,fail
path_1056.txt,0,fail
path_1059.txt,0,fail
path_1070.txt,14,fail
path_1072.txt,0,fail
path_1073.txt,0,fail
path_1082.txt,13,fail
path_1092.txt,0,fail
path_1096.txt,0,fail
path_1105.txt,53,fail
path_1109.txt,14,fail
path_1113.txt,0,fail
path_1118.txt,0,fail
path_1119.txt,14,fail
path_1126.txt,0,fail
path_1128.txt,0,fail
path_1131.txt,13,fail
path_1134.txt,0,fail
path_1142.txt,0,fail
path_1143.txt,0,fail
path_1150.txt,14,fail
path_1157.txt,0,fail
path_1160.txt,13,fail
path_1162.txt,0,fail
path_1164.txt,14,fail
path_1165.txt,0,fail
path_1179.txt,0,fail
path_1180.txt,0,fail
path_1192.txt,0,fail
path_1194.txt,14,fail
path_1197.txt,13,fail
path_1199.txt,14,fail
path_1203.txt,0,fail
path_1205.txt,0,fail
path_1223.txt,0,fail
path_1224.txt,0,fail
path_1228.txt,13,fail
path_1246.txt,14,fail
path_1251.txt,0,fail
path_1253.txt,0,fail
path_1258.txt,0,fail
path_1259.txt,0,fail
path_1260.txt,13,fail
path_1261.txt,14,fail
path_1262.txt,0,fail
path_1270.txt,0,fail
path_1272.txt,0,fail
path_1273.txt,0,fail
path_1277.txt,0,fail
path_1281.txt,14,fail
path_1282.txt,0,fail
path_1301.txt,0,fail
path_1304.txt,0,fail
path_1306.txt,0,fail
path_1309.txt,0,fail
path_1313.txt,14,fail
path_1314.txt,0,fail
path_1318.txt,0,fail
path_1319.txt,13,fail
path_1329.txt,0,fail
path_1330.txt,0,fail
path_1334.txt,0,fail
path_1346.txt,0,fail
path_1349.txt,14,fail
path_1351.txt,0,fail
path_1354.txt,36,fail
path_1355.txt,0,fail
path_1360.txt,14,fail
path_1365.txt,0,fail
path_1370.txt,14,fail
path_1374.txt,11,fail
path_1378.txt,0,fail
path_1381.txt,0,fail
path_1382.txt,0,fail
path_1384.txt,0,fail
path_1388.txt,0,fail
path_1392.txt,0,fail
path_1393.txt,0,fail
path_1408.txt,0,fail
path_1416.txt,0,fail
path_1426.txt,0,fail
path_1440.txt,0,fail
path_1443.txt,0,fail
path_1446.txt,12,fail
path_1448.txt,0,fail
path_1450.txt,13,fail
path_1459.txt,0,fail
path_1462.txt,13,fail
path_1466.txt,49,fail
path_1468.txt,0,fail
path_1481.txt,14,fail
path_1483.txt,0,fail
path_1491.txt,0,fail
path_1492.txt,0,fail
path_1493.txt,0,fail
path_1494.txt,14,fail
path_1497.txt,0,fail
